mode,map,team,player,kills,deaths,hill time,damage,first blood,major  ,type,opponent,score,map number,W/L,rounds,,series k/d,hardpoint k/d,search & destroy k/d,control k/d,total kills,total deaths,all hardpoint k/d,all search & destroy k/d,all control k/d,overall k/d
Hardpoint,Protocol,Atlanta Faze,Abezy,27,22,67,2872,,Major 1,Online,Toronto Ultra,250-141,1,W,,,1.11,1.23,,,531,526,1.00,1.07,1.00,1.01
Hardpoint,Protocol,Atlanta Faze,Cellium,24,17,35,3343,,Major 1,Online,Toronto Ultra,250-141,1,W,,,0.94,1.41,,,532,463,1.12,1.28,1.15,1.15
Hardpoint,Protocol,Atlanta Faze,Drazah,22,19,76,3143,,Major 1,Online,Toronto Ultra,250-141,1,W,,,0.90,1.16,,,520,525,1.09,0.75,0.90,0.99
Hardpoint,Protocol,Atlanta Faze,Simp,21,18,97,2748,,Major 1,Online,Toronto Ultra,250-141,1,W,,,0.93,1.17,,,536,496,1.07,1.07,1.10,1.08
Hardpoint,Protocol,Toronto Ultra,Beans,19,21,55,3497,,Major 1,Online,Atlanta Faze,141-250,1,L,,,1.06,0.90,,,572,557,1.03,1.24,0.95,1.03
Hardpoint,Protocol,Toronto Ultra,Cleanx,22,24,62,2359,,Major 1,Online,Atlanta Faze,141-250,1,L,,,1.27,0.92,,,638,576,1.04,1.25,1.22,1.11
Hardpoint,Protocol,Toronto Ultra,Insight,18,23,22,2626,,Major 1,Online,Atlanta Faze,141-250,1,L,,,0.89,0.78,,,486,532,0.92,1.11,0.85,0.91
Hardpoint,Protocol,Toronto Ultra,JoeDeceives,17,26,13,2417,,Major 1,Online,Atlanta Faze,141-250,1,L,,,0.91,0.65,,,572,569,0.96,1.50,0.95,1.01
Search & Destroy,Red Card,Atlanta Faze,Abezy,8,7,,1043,3,Major 1,Online,Toronto Ultra,3-6,2,L,9,,1.11,,1.14,,531,526,1.00,1.07,1.00,1.01
Search & Destroy,Red Card,Atlanta Faze,Cellium,6,6,,1352,0,Major 1,Online,Toronto Ultra,3-6,2,L,9,,0.94,,1.00,,532,463,1.12,1.28,1.15,1.15
Search & Destroy,Red Card,Atlanta Faze,Drazah,5,7,,1127,0,Major 1,Online,Toronto Ultra,3-6,2,L,9,,0.90,,0.71,,520,525,1.09,0.75,0.90,0.99
Search & Destroy,Red Card,Atlanta Faze,Simp,2,7,,393,0,Major 1,Online,Toronto Ultra,3-6,2,L,9,,0.93,,0.29,,536,496,1.07,1.07,1.10,1.08
